cell_id,row,col,centroid_x,centroid_y,geometry
1514,15,29,412727.3738420745,3373981.7927185036,"POLYGON ((412977.3738420745 3373731.7927185036, 412977.3738420745 3374231.7927185036, 412477.3738420745 3374231.7927185036, 412477.3738420745 3373731.7927185036, 412977.3738420745 3373731.7927185036))"
1515,16,29,412727.3738420745,3374481.7927185036,"POLYGON ((412977.3738420745 3374231.7927185036, 412977.3738420745 3374731.7927185036, 412477.3738420745 3374731.7927185036, 412477.3738420745 3374231.7927185036, 412977.3738420745 3374231.7927185036))"
1516,17,29,412727.3738420745,3374981.7927185036,"POLYGON ((412977.3738420745 3374731.7927185036, 412977.3738420745 3375231.7927185036, 412477.3738420745 3375231.7927185036, 412477.3738420745 3374731.7927185036, 412977.3738420745 3374731.7927185036))"
1517,18,29,412727.3738420745,3375481.7927185036,"POLYGON ((412977.3738420745 3375231.7927185036, 412977.3738420745 3375731.7927185036, 412477.3738420745 3375731.7927185036, 412477.3738420745 3375231.7927185036, 412977.3738420745 3375231.7927185036))"
1518,19,29,412727.3738420745,3375981.7927185036,"POLYGON ((412977.3738420745 3375731.7927185036, 412977.3738420745 3376231.7927185036, 412477.3738420745 3376231.7927185036, 412477.3738420745 3375731.7927185036, 412977.3738420745 3375731.7927185036))"
1519,20,29,412727.3738420745,3376481.7927185036,"POLYGON ((412977.3738420745 3376231.7927185036, 412977.3738420745 3376731.7927185036, 412477.3738420745 3376731.7927185036, 412477.3738420745 3376231.7927185036, 412977.3738420745 3376231.7927185036))"
1520,21,29,412727.3738420745,3376981.7927185036,"POLYGON ((412977.3738420745 3376731.7927185036, 412977.3738420745 3377231.7927185036, 412477.3738420745 3377231.7927185036, 412477.3738420745 3376731.7927185036, 412977.3738420745 3376731.7927185036))"
1521,22,29,412727.3738420745,3377481.7927185036,"POLYGON ((412977.3738420745 3377231.7927185036, 412977.3738420745 3377731.7927185036, 412477.3738420745 3377731.7927185036, 412477.3738420745 3377231.7927185036, 412977.3738420745 3377231.7927185036))"
1522,23,29,412727.3738420745,3377981.7927185036,"POLYGON ((412977.3738420745 3377731.7927185036, 412977.3738420745 3378231.7927185036, 412477.3738420745 3378231.7927185036, 412477.3738420745 3377731.7927185036, 412977.3738420745 3377731.7927185036))"
1523,24,29,412727.3738420745,3378481.7927185036,"POLYGON ((412977.3738420745 3378231.7927185036, 412977.3738420745 3378731.7927185036, 412477.3738420745 3378731.7927185036, 412477.3738420745 3378231.7927185036, 412977.3738420745 3378231.7927185036))"
1524,25,29,412727.3738420745,3378981.7927185036,"POLYGON ((412977.3738420745 3378731.7927185036, 412977.3738420745 3379231.7927185036, 412477.3738420745 3379231.7927185036, 412477.3738420745 3378731.7927185036, 412977.3738420745 3378731.7927185036))"
1525,26,29,412727.3738420745,3379481.7927185036,"POLYGON ((412977.3738420745 3379231.7927185036, 412977.3738420745 3379731.7927185036, 412477.3738420745 3379731.7927185036, 412477.3738420745 3379231.7927185036, 412977.3738420745 3379231.7927185036))"
1526,27,29,412727.3738420745,3379981.7927185036,"POLYGON ((412977.3738420745 3379731.7927185036, 412977.3738420745 3380231.7927185036, 412477.3738420745 3380231.7927185036, 412477.3738420745 3379731.7927185036, 412977.3738420745 3379731.7927185036))"
1527,28,29,412727.3738420745,3380481.7927185036,"POLYGON ((412977.3738420745 3380231.7927185036, 412977.3738420745 3380731.7927185036, 412477.3738420745 3380731.7927185036, 412477.3738420745 3380231.7927185036, 412977.3738420745 3380231.7927185036))"
1528,29,29,412727.3738420745,3380981.7927185036,"POLYGON ((412977.3738420745 3380731.7927185036, 412977.3738420745 3381231.7927185036, 412477.3738420745 3381231.7927185036, 412477.3738420745 3380731.7927185036, 412977.3738420745 3380731.7927185036))"
1529,30,29,412727.3738420745,3381481.7927185036,"POLYGON ((412977.3738420745 3381231.7927185036, 412977.3738420745 3381731.7927185036, 412477.3738420745 3381731.7927185036, 412477.3738420745 3381231.7927185036, 412977.3738420745 3381231.7927185036))"
1530,31,29,412727.3738420745,3381981.7927185036,"POLYGON ((412977.3738420745 3381731.7927185036, 412977.3738420745 3382231.7927185036, 412477.3738420745 3382231.7927185036, 412477.3738420745 3381731.7927185036, 412977.3738420745 3381731.7927185036))"
1531,32,29,412727.3738420745,3382481.7927185036,"POLYGON ((412977.3738420745 3382231.7927185036, 412977.3738420745 3382731.7927185036, 412477.3738420745 3382731.7927185036, 412477.3738420745 3382231.7927185036, 412977.3738420745 3382231.7927185036))"
1532,33,29,412727.3738420745,3382981.7927185036,"POLYGON ((412977.3738420745 3382731.7927185036, 412977.3738420745 3383231.7927185036, 412477.3738420745 3383231.7927185036, 412477.3738420745 3382731.7927185036, 412977.3738420745 3382731.7927185036))"
1533,34,29,412727.3738420745,3383481.7927185036,"POLYGON ((412977.3738420745 3383231.7927185036, 412977.3738420745 3383731.7927185036, 412477.3738420745 3383731.7927185036, 412477.3738420745 3383231.7927185036, 412977.3738420745 3383231.7927185036))"
1534,35,29,412727.3738420745,3383981.7927185036,"POLYGON ((412977.3738420745 3383731.7927185036, 412977.3738420745 3384231.7927185036, 412477.3738420745 3384231.7927185036, 412477.3738420745 3383731.7927185036, 412977.3738420745 3383731.7927185036))"
