cand_id,facility_type,x,y,height_m,roof_usable_m2,parcel_area_m2,height_source,osm_id,building_type,n_fato,capacity,cost,quality,cell_id
95,ground,411727.3738420745,3372481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1364.0
96,ground,404727.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,387.0
97,ground,404727.3738420745,3398981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,434.0
98,ground,404727.3738420745,3399481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,435.0
99,ground,404727.3738420745,3399981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,436.0
100,ground,405227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,447.0
101,ground,405227.3738420745,3378981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,455.0
102,ground,411727.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1358.0
103,ground,405227.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,453.0
104,ground,405227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,451.0
105,ground,405227.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,450.0
106,ground,405227.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,449.0
107,ground,405227.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,448.0
108,ground,405227.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,445.0
109,ground,411727.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1360.0
110,ground,405227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,444.0
111,ground,405227.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,443.0
112,ground,405227.3738420745,3372481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,442.0
113,ground,411727.3738420745,3369981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1359.0
114,ground,404727.3738420745,3401981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,440.0
115,ground,404727.3738420745,3401481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,439.0
116,ground,404727.3738420745,3400981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,438.0
117,ground,400727.3738420745,3390981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,86.0
118,ground,400727.3738420745,3389981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,84.0
119,ground,413227.3738420745,3382481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1603.0
120,ground,412727.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1519.0
121,ground,412727.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1521.0
122,ground,412727.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1522.0
123,ground,412727.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1525.0
124,ground,412727.3738420745,3381481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1529.0
125,ground,412727.3738420745,3381981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1530.0
126,ground,412727.3738420745,3382481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1531.0
127,ground,412727.3738420745,3382981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1532.0
128,ground,412727.3738420745,3383481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1533.0
129,ground,412727.3738420745,3384481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1535.0
130,ground,412727.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1520.0
131,ground,412727.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1518.0
132,ground,400727.3738420745,3389481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,83.0
133,ground,412727.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1517.0
134,ground,412727.3738420745,3366481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1499.0
135,ground,412727.3738420745,3366981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1500.0
136,ground,412727.3738420745,3367481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1501.0
137,ground,412727.3738420745,3367981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1502.0
138,ground,412727.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1503.0
139,ground,412727.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1504.0
140,ground,412727.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1505.0
141,ground,412727.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1507.0
142,ground,412727.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1508.0
143,ground,412727.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1509.0
144,ground,412727.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1514.0
145,ground,412727.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1515.0
146,ground,412727.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1516.0
147,ground,412727.3738420745,3386481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1539.0
148,ground,413227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1585.0
149,ground,413227.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1586.0
150,ground,413227.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1587.0
151,ground,413227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1588.0
152,ground,413227.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1589.0
153,ground,413227.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1590.0
154,ground,413227.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1591.0
155,ground,413227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1592.0
156,ground,413227.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1593.0
157,ground,413227.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1594.0
158,ground,413227.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1597.0
159,ground,413227.3738420745,3371981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1582.0
160,ground,413227.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1581.0
161,ground,413227.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1580.0
162,ground,411227.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1293.0
163,ground,413227.3738420745,3367481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1573.0
164,ground,413227.3738420745,3367981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1574.0
165,ground,413227.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1575.0
166,ground,413227.3738420745,3369481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1577.0
167,ground,413227.3738420745,3369981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1578.0
168,ground,412227.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1430.0
169,ground,411727.3738420745,3383981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1387.0
170,ground,411727.3738420745,3383481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1386.0
171,ground,411727.3738420745,3382981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1385.0
172,ground,411727.3738420745,3381981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1383.0
173,ground,399727.3738420745,3389981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,35.0
174,ground,400227.3738420745,3390981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,60.0
175,ground,400227.3738420745,3390481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,59.0
176,ground,400227.3738420745,3389981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,58.0
177,ground,400227.3738420745,3389481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,57.0
178,ground,411727.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1369.0
179,ground,399727.3738420745,3390481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,36.0
180,ground,411727.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1374.0
181,ground,411727.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1379.0
182,ground,412227.3738420745,3368981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1431.0
183,ground,412227.3738420745,3382481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1458.0
184,ground,412227.3738420745,3382981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1459.0
185,ground,412227.3738420745,3383481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1460.0
186,ground,412227.3738420745,3385481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1464.0
187,ground,412227.3738420745,3385981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1465.0
188,ground,412227.3738420745,3388481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1470.0
189,ground,412227.3738420745,3379981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1453.0
190,ground,412227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1443.0
191,ground,412227.3738420745,3370481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1434.0
192,ground,412227.3738420745,3370981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1435.0
193,ground,412227.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1436.0
194,ground,412227.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1439.0
195,ground,412227.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1442.0
196,ground,412227.3738420745,3379481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1452.0
197,ground,412227.3738420745,3376481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1446.0
198,ground,412227.3738420745,3376981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1447.0
199,ground,412227.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1448.0
200,ground,412227.3738420745,3377981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1449.0
201,ground,412227.3738420745,3378481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1450.0
202,ground,406227.3738420745,3374481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,577.0
203,ground,406227.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,578.0
204,ground,406227.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,579.0
205,ground,409727.3738420745,3375481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1078.0
206,ground,409727.3738420745,3374981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1077.0
207,ground,409727.3738420745,3373981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1075.0
208,ground,409727.3738420745,3373481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1074.0
209,ground,409727.3738420745,3372981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1073.0
210,ground,409727.3738420745,3372481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1072.0
211,ground,409727.3738420745,3371481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1070.0
212,ground,411227.3738420745,3377481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1301.0
213,ground,409727.3738420745,3368481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1064.0
214,ground,409727.3738420745,3367981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1063.0
215,ground,409727.3738420745,3367481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1062.0
216,ground,409227.3738420745,3402981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1061.0
217,ground,409227.3738420745,3389481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1034.0
218,ground,409227.3738420745,3381981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1019.0
219,ground,409727.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1079.0
220,ground,406227.3738420745,3375981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,580.0
221,ground,410227.3738420745,3367481.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1135.0
222,ground,409727.3738420745,3402981.792718504,0.0,,250000.0,n/a,-1,ground,2,50.0,57000000.0,0.75,1133.0
