cell_id,centroid_x,centroid_y,population_source,population,income,poi_count,poi_density,income_source,cluster,monthly_income_cny,vot_cny_per_h,p_evtol,trip_rate,demand
655,406727.3738420745,3378481.7927185036,zonal_sum,883.2322444915771,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.9831963234214784
656,406727.3738420745,3378981.7927185036,zonal_sum,288.8649706840515,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,1.6297761645994187
657,406727.3738420745,3379481.7927185036,zonal_sum,1827.984766960144,2.0541237336955462,3,12.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,11.485228290810586
658,406727.3738420745,3379981.7927185036,zonal_sum,2307.745204925537,2.5649493574615367,1,4.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,14.499563122547151
659,406727.3738420745,3380481.7927185036,zonal_sum,2012.6278018951416,2.468099531471619,4,16.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,12.645340479307176
660,406727.3738420745,3380981.7927185036,zonal_sum,3506.459310531616,2.8791984572980396,5,20.0,poi_economic_index,5,3613.0,10.38,0.06283,0.006283,22.031083848070146
661,406727.3738420745,3381481.7927185036,zonal_sum,735.1413004398346,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,4.147667217081547
662,406727.3738420745,3381981.7927185036,zonal_sum,3274.376884460449,1.33500106673234,1,4.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,19.561127507766724
663,406727.3738420745,3382481.7927185036,zonal_sum,2158.071708679199,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,12.175840580368043
664,406727.3738420745,3382981.7927185036,zonal_sum,1272.0055718421936,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,7.1766554363336565
665,406727.3738420745,3383481.7927185036,zonal_sum,1391.6149287223816,2.0541237336955462,2,8.0,poi_economic_index,0,2799.0,8.04,0.05974,0.005974,8.313507584187509
666,406727.3738420745,3383981.7927185036,zonal_sum,4649.219924926758,0.0,0,0.0,poi_economic_index,3,1868.0,5.37,0.05642,0.005642,26.23089881643677
